,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
369,tucuman,65,AR,1600113007,18,-26.82,-65.22,73.4,14.99
370,iquitos,40,PE,1600112988,58,-3.75,-73.25,87.8,5.82
371,bud,0,US,1600113009,58,39.45,-86.18,78.01,9.01
372,kirksville,1,US,1600113011,60,40.19,-92.58,77.0,5.82
373,tezu,99,IN,1600113012,86,27.92,96.17,75.09,2.39
374,mae sai,40,TH,1600113013,100,20.43,99.88,77.0,1.12
375,ashitkovo,83,RU,1600113014,93,55.44,38.59,51.8,6.71
376,los llanos de aridane,40,ES,1600113015,73,28.66,-17.92,77.0,6.93
377,muisne,75,EC,1600113017,74,0.6,-80.03,82.4,10.29
378,jalu,0,LY,1600113018,27,29.03,21.55,89.98,13.4
379,ondo,100,NG,1600113019,97,7.1,4.83,73.02,3.49
380,villanueva de la serena,70,ES,1600113021,51,38.98,-5.8,80.01,5.01
381,buala,100,SB,1600113022,79,-8.14,159.59,80.62,7.0
382,east london,1,ZA,1600113024,62,-33.02,27.91,60.03,15.68
383,townsville,5,AU,1600113026,93,-19.25,146.8,64.99,1.12
384,swan river,100,CA,1600113027,43,52.11,-101.27,63.21,4.52
